# 중복 판정 표 — `uv run histgraph dedupe` 가 읽는다.
#
# 한 사건이 두 노드로 들어와 있는 것을 규칙이 찾아 오면(`duplicates` 모듈
# 머리글), 사람이 여기에 한 줄을 적는다. 규칙은 후보를 찾을 뿐 합치지
# 않는다 — 라벨이 비슷하다고 합치면 절반이 틀린다.
#
#   merge<TAB>남길 id<TAB>없앨 id<TAB>근거
#   keep <TAB>id      <TAB>id      <TAB>왜 다른 사건인지
#
# 남길 쪽은 대개 엣지가 많은 노드다. 다만 **연대가 맞는 쪽**이 먼저다 —
# 없앤 노드의 날짜는 남는 노드가 비어 있을 때만 옮겨진다. 없어지는 이름은
# 별칭으로 남아 검색에 계속 걸린다.
#
# 이름이 갈리는 까닭은 소스마다 표제를 다르게 달기 때문이다. 국편은
# '3·1운동', 위키백과는 '3·1 운동'이고, 같은 1762년 일을 국편은 '사도세자
# 사건', 위키백과는 '임오화변'이라 부른다.

# --- 소스마다 표제가 다른 같은 사건 (국편 ↔ 위키백과) ----------------------
merge	nikh:kc_i303100	wd:Q18685040	사도세자 사건 = 임오화변. 양쪽 설명이 서로를 이칭으로 부른다 (2026-09-04 지적). 국편 설명이 더 길어 그쪽을 남긴다
merge	wd:Q482525	nikh:kc_i400200	3·1 운동 — 띄어쓰기만 다르다
merge	wd:Q174990	nikh:kc_i501000	5·18 광주 민주화 운동 — 띄어쓰기만 다르다
merge	wd:Q489416	nikh:kc_i500700	4·19 혁명 — 띄어쓰기만 다르다
merge	wd:Q10854401	nikh:kc_i400300	6·10 만세 운동 — 띄어쓰기만 다르다. 국편 쪽 연대(1920)가 틀려서 위키백과 노드를 남긴다 (1926-06-10)
merge	wd:Q178687	nikh:kc_i403300	청일 전쟁 = 청·일 전쟁
merge	wd:Q159950	nikh:kc_i401670	러일 전쟁 — 띄어쓰기만 다르다
merge	wd:Q170314	nikh:kc_i403270	중일 전쟁 — 띄어쓰기만 다르다
merge	wd:Q8740	nikh:kc_i502200	베트남 전쟁 — 띄어쓰기만 다르다
merge	wd:Q20443986	nikh:kc_i305620	정유재란 — 같은 이름의 두 노드
merge	wd:Q385677	nikh:kc_i302300	명량 해전 = 명량해전
merge	wd:Q624853	nikh:kc_i502800	여수·순천 사건 — 띄어쓰기만 다르다. 국편 쪽 연대(2021)는 특별법 제정 연도라 위키백과 노드를 남긴다
merge	wd:Q711967	nikh:kc_i401690	만보산 사건 = 만보산사건
merge	nikh:kc_i401703	wd:Q8707	메이지 유신 — 위키백과 쪽은 설명도 엣지도 없는 껍데기다
merge	nikh:kc_i500600	wd:Q276668	3·15 부정선거 — 띄어쓰기만 다르다
merge	nikh:kc_i502000	wd:Q10856064	남북기본합의서 — 띄어쓰기만 다르다
merge	nikh:kc_i502310	wd:Q11245983	부산 정치 파동 — 띄어쓰기만 다르다
merge	wd:Q11248398	nikh:kc_i502350	사사오입 개헌 — 국편 쪽 연대(1952)는 발췌개헌의 해다. 개헌은 1954-11-27
merge	nikh:kc_i502600	wd:Q16162349	신탁통치 반대운동 — 띄어쓰기만 다르다
merge	nikh:kc_i502600	ex:event:반탁 운동	반탁 운동은 신탁통치 반대운동의 다른 이름이다 (위키백과 설명이 '또는 반탁 운동')
merge	nikh:kc_i500400	wd:Q10854303	언론통폐합사건 = 언론통폐합

# --- 같은 사건이 위키백과 안에서 두 항목으로 --------------------------------
merge	wd:Q122846639	wd:Q576338	임진왜란이 두 노드였다. 국편 정본이 씌워진 쪽(엣지 137건)을 남기고 위키백과 쪽(17건)의 별칭 9개를 옮긴다
merge	wd:Q55734463	wd:Q55058639	종로경찰서 폭탄투척 사건 — 띄어쓰기만 다르다. 설명이 있는 쪽을 남긴다 (빈 설명은 화면에서 빠진다)

# --- 갈래 이름만 다른 같은 사건 ---------------------------------------------
merge	wd:Q6693331	ex:event:신임옥사	신임사화의 설명이 '신임옥사라고도 하며'로 시작한다
merge	wd:Q21060379	ex:event:진포 대첩	1380년 진포의 싸움. 해전과 대첩은 같은 것을 달리 부른 이름이다
merge	wd:Q22975368	ex:event:홍산 전투	1376년 최영의 홍산 싸움. 대첩과 전투는 같은 것이다
merge	nikh:kc_i303200	ex:event:사육신의 난	국편 설명이 '상왕 복위 모의 사건을 가리켜 사육신 사건이라 통칭한다'고 밝힌다

# --- 추출 고아끼리, 또는 고아와 본 노드 -------------------------------------
merge	ex:event:발해 원정	ex:event:발해원정	띄어쓰기만 다른 추출 고아
merge	ex:event:세조 반정	ex:event:세조반정	띄어쓰기만 다른 추출 고아
merge	ex:event:제2차 한일 협약	ex:event:제2차 한일협약	띄어쓰기만 다른 추출 고아
merge	wd:Q489676	ex:event:《경국대전》	겹낫표만 다르다
merge	wd:Q8663	ex:event:6·25 전쟁	가운뎃점과 마침표만 다르다

