# 연대 판정 표 — `uv run histgraph chronology --apply` 가 읽는다 (`chronology` 모듈 머리글).
#
# 원인은 결과보다 먼저다. 연표에서 원인이 결과 아래에 서면 (2026-09-05 지적:
# 병자호란 → 공석신주사건) 엣지가 틀렸거나 날짜가 틀린 것이다. 어느 쪽인지는
# 정본(민족문화대백과·국편)과 위키백과를 읽고 여기에 적는다.
#
#   date<TAB>노드 id<TAB>시작<TAB>끝<TAB>근거          끝은 비워도 된다
#   drop<TAB>원인 id<TAB>결과 id<TAB>근거
#   flip<TAB>원인 id<TAB>결과 id<TAB>종류<TAB>근거     결과 → 원인으로 다시 건다
#
# 날짜는 양력이다. 음력을 옮겼으면 근거에 원래 날짜를 적는다. 하루까지 모르면
# 달까지만 적는다.

# --- 결과의 날짜가 틀리거나 거칠었다 --------------------------------------
date	wd:Q16190836	1388-05		요동 정벌 — 음력 4월 18일 출정(우왕 14년, 국편 연대기·위키백과). 위화도 회군(음력 5월 22일 = 1388-06-11)에서 역산한 그레고리력 5월
date	nikh:kc_i305920	1395		표전문제 — 민백: 1395년(태조 4) 11월 정총이 가져간 표문에서 시작. 국편: 1396년 명의 정도전 압송 요구. 1397년은 재차 시비의 해
date	wd:Q12612839	1453-11		이징옥의 난 — 민백·위키: 1453년 음력 10월, 계유정난(음력 10월 10일 = 1453-11-19) 직후. 그레고리력 11월
date	nikh:kc_i305400	1512		임신약조 — 민백·국편: 1512년(중종 7) 체결. 1510년은 삼포왜란의 해
date	wd:Q6375097	1608		대동법 — 국편: 1608년(광해군 즉위) 이원익의 건의로 경기도에 처음 시행. 1624년은 강원·충청·전라 확대의 해
date	wd:Q122599149	1638-01		공석신주사건 — 민백: 1638년(인조 16) 1월 대사헌 유백증의 상소로 윤방을 탄핵(음력). 1636년은 배경이 된 병자호란의 해
date	nikh:kc_i301820	1762-06		나경언 고변사건 — 실록: 영조 38년 음력 5월 22일 고변. 임오화변(윤5월 13일 = 1762-07-04)에서 역산한 그레고리력 6월 중순
date	nikh:kc_i303100	1762-07-04	1762-07-12	사도세자 사건 — 민백·국편·위키: 음력 윤5월 13일 뒤주에 갇히고(양력 7월 4일) 윤5월 21일 사망(양력 7월 12일)
date	nikh:kc_i402520	1894-12-04	1894-12-07	우금치 전투 — 국편: 음력 11월 8~9일의 2차 전투(1차는 10월 23일). 양력 12월 4~7일
date	wd:Q716803	1894-07-27	1896-02-11	갑오개혁 — 민백: 7월 27일 군국기무처 설치로 1차 갑오개혁 시작, 1896년 2월 11일 아관파천으로 끝 (양력)
date	wd:Q55734410	1894-08-26		조일동맹조약 — 대조선대일본양국맹약 체결 양력 8월 26일(음력 7월 26일). 잠정합동조관은 8월 20일. 위키백과의 '7월 22일'은 음력 표기
date	wd:Q178687	1894-07-25	1895-04-17	청일 전쟁 — 위키: 7월 25일 풍도 해전으로 개전(선전포고는 8월 1일), 1895년 4월 17일 시모노세키 조약
date	wd:Q623836	1895-10-08	1896-02-11	을미개혁 — 위키: 을미사변(10월 8일) 직후 4차 김홍집 내각부터 아관파천 직전까지. 민백은 3차 갑오개혁을 8월 24일부터로 잡는다
date	wd:Q65280608	1895-12	1896-10	을미의병 — 민백: 음력 10월 중순 문석봉의 유성 의병이 처음(양력 11월 말~12월 초), 본격 봉기는 단발령 뒤 1896년 1월 중순, 1896년 10월을 고비로 진정
date	wd:Q6125072	1895-12-30		단발령 — 국편: 음력 11월 15일 공포 = 양력 12월 30일. 기존 값 1895-11-15 는 음력 날짜를 양력처럼 적은 것
date	nikh:kc_i402100	1905-11-20		시일야방성대곡 — 국편: 1905년 11월 20일자 황성신문 논설
date	wd:Q17688334	1907-08-01		정미의병 — 민백·위키: 8월 1일 군대해산 당일 시위대의 봉기에서 비롯
date	nikh:kc_i402900	1910-08-29	1919-03-01	무단통치 — 국편: 병합(1910년 8월 29일)에서 3·1 운동까지가 1기 무단통치
date	nikh:kc_i403000	1919-08-12		일제의 문화정치 — 국편: 1919년 8월 12일 사이토 마코토 총독 임명·관제 개정으로 시작
date	wd:Q12592355	1919-11		대한민국애국부인회 사건 — 위키: 1919년 11월 오현주의 밀고로 조직이 적발되어 검거
date	nikh:kc_i500800	1948-05-10		5·10선거 — 국편: 1948년 5월 10일 실시
date	wd:Q181289	1950-06	1950-09	보도연맹 학살 사건 — 위키: 6.25 전쟁 발발 직후 6월 말부터 9월까지 이어진 학살
date	wd:Q12597315	1953-07-30	1955-12-15	박헌영 리승엽 간첩 사건 — 위키: 리승엽 등 12명 1953년 7월 30일 기소·8월 6일 판결, 박헌영은 1955년 12월 15일 판결. 1950년은 전쟁의 해
date	nikh:kc_i502950	1953-07-27		정전협정 — 국편: 1953년 7월 27일 판문점에서 체결
date	wd:Q12624662	1592-06-25	1592-06-25	해유령 전투 — 위키: 임진왜란 초기 1592년 6월 25일(음력 5월 16일) 양주 해유령. 기존 값 1562 는 연도 오기
date	wd:Q11268479	1921-06-28	1921-06-28	자유시 참변 — 위키·민백: 1921년 6월 28일 자유시(스보보드니)에서 러시아 적군이 사할린 의용대를 공격. 기존 시작 1월 13일은 근거 없음
date	wd:Q6546916	1898-03-10		만민공동회 — 민백: 1898년 3월 10일 종로에서 첫 만민공동회
date	wd:Q484256	1592-06-16	1592-06-16	옥포 해전 — 위키·민백: 1592년 음력 5월 7일 = 양력 6월 16일. 기존 값 05-08 은 음력을 양력처럼 적은 것
date	wd:Q4871190	1592-06-16	1592-06-16	합포 해전 — 옥포 해전 당일 오후(음력 5월 7일 = 양력 6월 16일). 기존 값 05-07 은 음력을 양력처럼 적은 것
date	wd:Q497348	1592-05-25	1592-05-25	동래성 전투 — 위키·민백: 1592년 음력 4월 15일 = 양력 5월 25일 (부산진·다대포 전투 이튿날). 기존 값 04-15 는 음력을 양력처럼 적은 것
date	wd:Q626280	1592-06-17	1592-06-17	적진포 해전 — 옥포·합포 해전 이튿날, 음력 5월 8일 = 양력 6월 17일. 기존 값 05-08 은 음력을 양력처럼 적은 것
date	nikh:kc_i501600	1962		경제개발 5개년 계획 — 국편·위키: 장면 정부가 기획했으나 1962년 1차 계획부터 집행. 1960년은 3개년 계획안이 계승된 해

# --- 원인이 결과를 끝낸 것이다 — 인과가 아니다 ----------------------------
drop	wd:Q624181	nikh:kc_i305920	제1차 왕자의 난(1398)은 1395년 시작된 표전문제를 일단락 지은 것이지 원인이 아니다
drop	wd:Q6780271	wd:Q6375097	이괄의 난(1624)은 1608년 시작된 대동법의 원인이 아니라 충청·전라 확대분을 폐지시킨 것이다
drop	wd:Q134142	nikh:kc_i300500	병인양요(1866)는 1865년 시작된 경복궁 중건의 공역을 늦춘 것이지 원인이 아니다
drop	wd:Q55734410	wd:Q701045	조일동맹조약(1894년 8월)은 동학 농민 혁명(1월)의 원인이 아니다 — 진압 지휘권이 일본에 넘어갔다는 문장
drop	wd:Q623757	wd:Q716803	을미사변(1895년 10월)은 1894년 시작된 갑오개혁의 원인이 아니다. 그 뒤의 개혁은 을미개혁 엣지가 맡는다
drop	wd:Q6125072	wd:Q623757	단발령(12월 30일)은 을미사변(10월 8일)의 원인이 아니다 — 둘 다 아관파천으로 이어졌다는 문장을 잘못 읽었다
drop	wd:Q8663	wd:Q705574	북중 관계는 1949년 수립된 것이라 6.25의 결과가 아니다. 참전은 관계 안의 사건이지 관계의 원인이 아니다
drop	wd:Q3270739	wd:Q48734658	박천 전투(11월)는 6월에 시작된 북한 폭격의 원인이 아니다 — 유엔군 철수 문장을 잘못 읽었다
drop	wd:Q14938275	wd:Q491346	육영수 저격 사건(1974)은 김대중 납치 사건(1973)의 원인이 아니다. 결과는 한일 관계의 형세다
drop	wd:Q485728	wd:Q623959	5·17 내란은 서울의 봄을 끝낸 것이지 원인이 아니다
drop	wd:Q174990	wd:Q623959	5·18 광주 민주화 운동은 서울의 봄의 끝이지 원인이 아니다
drop	wd:Q243987	wd:Q494058	연평도 포격전(11월)은 천안함 피격 사건(3월)의 원인이 아니다. 결과는 남북 갈등의 심화다
drop	nikh:kc_i402520	wd:Q701045	우금치 전투(12월)의 패배는 1월에 시작된 동학 농민 혁명을 와해시킨 것이지 원인이 아니다
drop	wd:Q65280608	wd:Q6125072	을미의병은 단발령의 원인이 아니라 결과이며, 근거 문장은 단발령 철폐를 말한다
drop	wd:Q16182419	wd:Q6546916	황국협회(1898년 6월 조직)는 3월에 시작된 만민공동회의 원인이 아니라 그것을 공격한 쪽이다
drop	nikh:kc_i402100	wd:Q233254	시일야방성대곡(11월 20일)은 을사조약(11월 17일)에 대한 규탄이지 원인이 아니다. 반대 방향 엣지가 그 뜻을 맡는다
drop	wd:Q15180	wd:Q11268479	소련은 1922년 12월 수립이라 1921년 자유시 참변의 원인일 수 없다. 참변은 러시아 적군과 고려공산당 파쟁의 일이고 근거 문장에 소련이 없다
drop	wd:Q55734410	wd:Q178687	조일동맹조약(8월 26일)은 청일 전쟁(7월 25일 개전) 중에 맺은 것이라 전쟁의 원인이 아니다. 반대 방향 엣지가 그 뜻을 맡는다
drop	nikh:kc_i501600	wd:Q487810	경제개발 5개년 계획(1962)은 5·16 군사정변(1961)의 원인이 아니라 정변 세력이 계승한 것이다
drop	wd:Q715791	wd:Q701045	평양 전투(1894년 9월, 청일 전쟁)는 1월에 시작된 동학 농민 혁명의 원인이 아니다. 2차 봉기의 배경일 뿐이고 그 뜻은 청일 전쟁 엣지가 맡는다

# --- 방향이 뒤집혔다 -------------------------------------------------------
